dataset,scene,window,sequence,source,source_path,available_frames,start_index,frames_per_window,first_frame,last_frame
7-scenes,chess,window-00,seq-03,dir,7-scenes/chess/seq-03,1000,0,20,frame-000000,frame-000019
7-scenes,chess,window-01,seq-05,dir,7-scenes/chess/seq-05,1000,0,20,frame-000000,frame-000019
7-scenes,chess,window-02,seq-03,dir,7-scenes/chess/seq-03,1000,245,20,frame-000245,frame-000264
7-scenes,chess,window-03,seq-05,dir,7-scenes/chess/seq-05,1000,245,20,frame-000245,frame-000264
7-scenes,chess,window-04,seq-03,dir,7-scenes/chess/seq-03,1000,490,20,frame-000490,frame-000509
7-scenes,chess,window-05,seq-05,dir,7-scenes/chess/seq-05,1000,490,20,frame-000490,frame-000509
7-scenes,chess,window-06,seq-03,dir,7-scenes/chess/seq-03,1000,735,20,frame-000735,frame-000754
7-scenes,chess,window-07,seq-05,dir,7-scenes/chess/seq-05,1000,735,20,frame-000735,frame-000754
7-scenes,chess,window-08,seq-03,dir,7-scenes/chess/seq-03,1000,980,20,frame-000980,frame-000999
7-scenes,chess,window-09,seq-05,dir,7-scenes/chess/seq-05,1000,980,20,frame-000980,frame-000999
7-scenes,fire,window-00,seq-03,dir,7-scenes/fire/seq-03,1000,0,20,frame-000000,frame-000019
7-scenes,fire,window-01,seq-04,dir,7-scenes/fire/seq-04,1000,0,20,frame-000000,frame-000019
7-scenes,fire,window-02,seq-03,dir,7-scenes/fire/seq-03,1000,245,20,frame-000245,frame-000264
7-scenes,fire,window-03,seq-04,dir,7-scenes/fire/seq-04,1000,245,20,frame-000245,frame-000264
7-scenes,fire,window-04,seq-03,dir,7-scenes/fire/seq-03,1000,490,20,frame-000490,frame-000509
7-scenes,fire,window-05,seq-04,dir,7-scenes/fire/seq-04,1000,490,20,frame-000490,frame-000509
7-scenes,fire,window-06,seq-03,dir,7-scenes/fire/seq-03,1000,735,20,frame-000735,frame-000754
7-scenes,fire,window-07,seq-04,dir,7-scenes/fire/seq-04,1000,735,20,frame-000735,frame-000754
7-scenes,fire,window-08,seq-03,dir,7-scenes/fire/seq-03,1000,980,20,frame-000980,frame-000999
7-scenes,fire,window-09,seq-04,dir,7-scenes/fire/seq-04,1000,980,20,frame-000980,frame-000999
7-scenes,heads,window-00,seq-01,dir,7-scenes/heads/seq-01,1000,0,20,frame-000000,frame-000019
7-scenes,heads,window-01,seq-01,dir,7-scenes/heads/seq-01,1000,108,20,frame-000108,frame-000127
7-scenes,heads,window-02,seq-01,dir,7-scenes/heads/seq-01,1000,217,20,frame-000217,frame-000236
7-scenes,heads,window-03,seq-01,dir,7-scenes/heads/seq-01,1000,326,20,frame-000326,frame-000345
7-scenes,heads,window-04,seq-01,dir,7-scenes/heads/seq-01,1000,435,20,frame-000435,frame-000454
7-scenes,heads,window-05,seq-01,dir,7-scenes/heads/seq-01,1000,544,20,frame-000544,frame-000563
7-scenes,heads,window-06,seq-01,dir,7-scenes/heads/seq-01,1000,653,20,frame-000653,frame-000672
