scene_id,valid_frames
000eb6240f06dd5a,46
01892b6feac30246,18
02261e1e49950261,10
0249c3525b3b4c4f,40
02a4084b7424ce0d,22
03ac738af49c7596,54
03adff83538bdb4e,12
03d52a396f19e399,33
043677e4a419a5af,11
0439c5252b5441dd,13
05c57211be152630,55
05e2f342142bc50d,53
0625b6412b5f8907,41
0626b812d67da3c6,51
06b1d1272b162490,54
07881b7ead6da42e,38
07d6ff98f3e7199b,45
0818d7f7c8786b64,23
085e30417ed3fd8d,17
08e4786410a25d00,37
09045e49adc04003,19
0986e2c7600da6e6,13
09b505bb829c1d12,59
09eba6d16734a95c,15
0a24467ad5c9ff64,26
0a4cf8d9b81b4c6e,57
0a7a341c08f34c24,16
0ab163a1b88f1128,59
0b1441aa619f27cb,48
0b440bf8f7f8a4d0,36
0b71356c5fbc84eb,43
0b8e670f98cf5083,53
0b931cc2817fb69b,17
