dataset,frames,method,factor,label,order,auc30,auc15,auc5,auc3,mean_inference_seconds,median_inference_seconds,total_inference_seconds,num_samples,accuracy_file,profile_file,command
7scenes,5,baseline,,VGGT,0,0.32661904761904764,0.16552380952380957,0.032857142857142856,0.012857142857142857,0.36098453064582176,0.3612100617028773,25.268917145207524,70,results/7scenes_manifest_eval_f5.json,results/7scenes_profile_f5.json,uv run python eval_7scenes.py --profile --frames 5
7scenes,5,avggt,1,AVGGT-1,1,0.32947619047619053,0.16133333333333336,0.033999999999999996,0.01476190476190476,0.35292280120775105,0.36247813468798995,24.704596084542572,70,results/7scenes_manifest_eval_avggt1_f5.json,results/7scenes_profile_avggt1_f5.json,uv run python eval_7scenes.py --profile --frames 5 --avggt --subsample-factor 1
7scenes,5,avggt,2,AVGGT-2,2,0.30990476190476196,0.14914285714285713,0.02628571428571429,0.007619047619047619,0.37653791537242276,0.380749240051955,26.357654076069593,70,results/7scenes_manifest_eval_avggt2_f5.json,results/7scenes_profile_avggt2_f5.json,uv run python eval_7scenes.py --profile --frames 5 --avggt --subsample-factor 2
7scenes,5,avggt,4,AVGGT-4,4,0.3091904761904762,0.14657142857142855,0.027142857142857142,0.009523809523809525,0.37989670136677367,0.3832656051963568,26.592769095674157,70,results/7scenes_manifest_eval_avggt4_f5.json,results/7scenes_profile_avggt4_f5.json,uv run python eval_7scenes.py --profile --frames 5 --avggt --subsample-factor 4
7scenes,5,avggt,6,AVGGT-6,6,0.30157142857142855,0.13990476190476192,0.026857142857142857,0.011904761904761904,0.34827584999480415,0.3667630502022803,24.379309499636292,70,results/7scenes_manifest_eval_avggt6_f5.json,results/7scenes_profile_avggt6_f5.json,uv run python eval_7scenes.py --profile --frames 5 --avggt --subsample-factor 6
7scenes,5,avggt,9,AVGGT-9,9,0.29266666666666663,0.13657142857142857,0.022857142857142857,0.009047619047619047,0.3583799478597939,0.3804002786055207,25.086596350185573,70,results/7scenes_manifest_eval_avggt9_f5.json,results/7scenes_profile_avggt9_f5.json,uv run python eval_7scenes.py --profile --frames 5 --avggt --subsample-factor 9
7scenes,10,baseline,,VGGT,0,0.46759788359788357,0.2757671957671957,0.07365079365079366,0.029735449735449736,0.616737677635891,0.6060736416839063,43.17163743451238,70,results/7scenes_manifest_eval_f10.json,results/7scenes_profile_f10.json,uv run python eval_7scenes.py --profile --frames 10
7scenes,10,avggt,1,AVGGT-1,1,0.4656931216931218,0.274031746031746,0.07238095238095238,0.03015873015873016,0.5887390921025404,0.5847287215292454,41.21173644717783,70,results/7scenes_manifest_eval_avggt1_f10.json,results/7scenes_profile_avggt1_f10.json,uv run python eval_7scenes.py --profile --frames 10 --avggt --subsample-factor 1
7scenes,10,avggt,2,AVGGT-2,2,0.45034920634920633,0.26634920634920634,0.07396825396825397,0.031005291005291005,0.6264590795684074,0.6289705126546323,43.852135569788516,70,results/7scenes_manifest_eval_avggt2_f10.json,results/7scenes_profile_avggt2_f10.json,uv run python eval_7scenes.py --profile --frames 10 --avggt --subsample-factor 2
7scenes,10,avggt,4,AVGGT-4,4,0.4293650793650794,0.2467089947089947,0.06533333333333333,0.028359788359788363,0.6119522942629244,0.6013705125078559,42.836660598404706,70,results/7scenes_manifest_eval_avggt4_f10.json,results/7scenes_profile_avggt4_f10.json,uv run python eval_7scenes.py --profile --frames 10 --avggt --subsample-factor 4
7scenes,10,avggt,6,AVGGT-6,6,0.4220952380952382,0.24281481481481484,0.061523809523809536,0.02423280423280423,0.5793243184552661,0.5708949225954711,40.55270229186863,70,results/7scenes_manifest_eval_avggt6_f10.json,results/7scenes_profile_avggt6_f10.json,uv run python eval_7scenes.py --profile --frames 10 --avggt --subsample-factor 6
7scenes,10,avggt,9,AVGGT-9,9,0.4079470899470899,0.2268783068783069,0.05625396825396826,0.023915343915343917,0.5801198754991804,0.5792888845317066,40.60839128494263,70,results/7scenes_manifest_eval_avggt9_f10.json,results/7scenes_profile_avggt9_f10.json,uv run python eval_7scenes.py --profile --frames 10 --avggt --subsample-factor 9
7scenes,20,baseline,,VGGT,0,0.5906441102756894,0.3914385964912281,0.1258045112781955,0.05829573934837093,1.2429980537987182,1.1877550738863647,87.00986376591027,70,results/7scenes_manifest_eval.json,results/7scenes_profile.json,uv run python eval_7scenes.py --profile
7scenes,20,avggt,1,AVGGT-1,1,0.590325814536341,0.3912531328320802,0.12586466165413535,0.05786967418546366,1.1756012504255133,1.120816607028246,82.29208752978593,70,results/7scenes_manifest_eval_avggt1.json,results/7scenes_profile_avggt1.json,uv run python eval_7scenes.py --profile --avggt --subsample-factor 1
7scenes,20,avggt,2,AVGGT-2,2,0.5788471177944863,0.37994987468671676,0.12054135338345864,0.05591478696741855,1.2034094745559352,1.1402825694531202,84.23866321891546,70,results/7scenes_manifest_eval_avggt2.json,results/7scenes_profile_avggt2.json,uv run python eval_7scenes.py --profile --avggt --subsample-factor 2
7scenes,20,avggt,4,AVGGT-4,4,0.5635438596491227,0.36339849624060144,0.11786466165413534,0.056566416040100244,1.132244185597769,1.0808148849755526,79.25709299184382,70,results/7scenes_manifest_eval_avggt4.json,results/7scenes_profile_avggt4.json,uv run python eval_7scenes.py --profile --avggt --subsample-factor 4
